Date,Open,Close/Last,High,Low
09/21/2021,42684.5,42206.2,42393.4,40585.7
09/20/2021,45584.9,42686.2,43035.6,40401.5
09/19/2021,47840.2,45526.3,47323.9,45310.7
09/18/2021,47926.1,47940.9,48341.9,47650.8
09/17/2021,48032.7,47526.6,47572,47070.5
09/16/2021,47625.4,47876.3,48095.8,47466.5
09/15/2021,47091.9,47545.5,48181.9,47358.8
09/14/2021,45193.2,47097.4,47396,46953.7
09/13/2021,44845,45281.7,45353.8,44718.7
09-12-2021,45319.6,44973.6,46269.8,44830
09-11-2021,45190.1,45308.7,45338.8,44755.2
09-10-2021,46721.5,45023.2,45476.1,44766.6
09-09-2021,45973.9,46604.7,47021.6,46287.7
09-08-2021,46444.2,45904.5,46341.9,45609
09-07-2021,52649.9,46533.2,47316.9,46329.3
09-06-2021,51601.2,52639.6,52885.3,52388.6
09-05-2021,50099.3,50129.3,50285.9,49492.4
09-04-2021,50280.5,49716.3,50285.9,49705.6
09-03-2021,49485.2,50267.4,50346.3,49603.1
09-02-2021,49567,49446.8,49497.3,48377.3
09-01-2021,47050.5,49571.7,49870.3,48612.9
08/31/2021,47151.5,46918.2,47289.5,46533.1
08/30/2021,47964.3,47177,47204.9,46709.3
08/29/2021,48231.9,47944.6,48886,47822.7
08/28/2021,48862.5,48258.5,49621.7,48101.9
08/27/2021,46822.3,48880.7,49289.4,48846.4
08/26/2021,47263.6,46867.7,49347.8,46584
08/25/2021,47993.2,47967.1,49347.8,47898.8
08/24/2021,49341.6,48000.6,48277.5,47669.8
08/23/2021,50263.4,49352.5,49685.2,48812.4
08/22/2021,48807.3,50226.5,50329.4,49099
08/21/2021,48834.5,48736.4,49164.1,48623.7
08/20/2021,47056.5,48901.9,49334,48744.8
08/19/2021,44073.6,47048,47377.9,46646.8
08/18/2021,45048.2,44177.2,45184.6,44086.7
08/17/2021,46393.3,44959,45133.9,44230
08/16/2021,47375.4,46399.9,46589.1,45323.2
08/15/2021,46870.1,47497.9,48002.4,46814.1
08/14/2021,47546,47015.6,47344.1,46928
08/13/2021,44950.2,47500.4,47826.5,47408.6
08-12-2021,45916.8,44962.2,45012.1,44242.4
08-11-2021,45585.1,46123.5,46213.8,45432.5
08-10-2021,45714.8,45600.4,45983,45367.9
08-09-2021,43504.9,45689.8,46663.4,45659.4
08-08-2021,44327.7,43552.4,43958.6,42824.1
08-07-2021,43712.7,44307.8,44749.5,43842.5
08-06-2021,40223.3,43672.9,43707.4,42611
08-05-2021,39433.6,40166.6,40979,39967.4
08-04-2021,37972.1,39431.3,39834.2,39202.6
08-03-2021,38653.8,38054.8,38555.5,37904.4
08-02-2021,39789.5,38569.7,39766.6,38543.5
08-01-2021,42446.5,39782.5,40078.5,39306.9
07/31/2021,41818,42281.8,42361.8,41123.8
07/30/2021,39981.7,41914.8,42285.3,41645.5
07/29/2021,39657.8,39976.3,40245.6,39769.8
07/28/2021,39845,39740.4,40205.2,39340.8
07/27/2021,36552,39831.3,40296.4,38946.6
07/26/2021,38072.6,36914.2,37514.9,36427.4
07/25/2021,33824.8,38138,39639.9,35236.7
07/24/2021,33670.3,34234.5,34302.5,33956.8
07/23/2021,32591.5,33611.3,33776.7,33412.9
07/22/2021,31941.1,32537.4,32746.2,32215
07/21/2021,29841.3,31960.1,32352.3,31803.1
07/20/2021,29609.5,29849.9,29901.8,29519.3
07/19/2021,31553.7,29619.3,31040.8,29574
07/18/2021,32151.5,31577.7,31838.7,31462.8
07/17/2021,31310.2,32132.1,32408.2,31490.2
07/16/2021,31899.8,31326.6,31616.8,31207.8
07/15/2021,32760.4,31906.4,32016.9,31581.1
07/14/2021,32543.1,32711.8,33157,32657.7
07/13/2021,33075.9,31785,32778.8,31695.8
07-12-2021,34267.6,33139.4,33220.4,32839.5
07-11-2021,33535.6,34504.4,34507.9,34077.1
07-10-2021,33725,33461.4,33794.9,33434.4
07-09-2021,32747,33827.8,34221,33678
07-08-2021,33372.9,32956.6,32993.5,32367
07-07-2021,34444.3,33359.6,33923.2,33095.9
07-06-2021,33923.3,34428.1,34495.7,33966.6
07-05-2021,34371.6,33883.2,34157.4,33669.5
07-04-2021,34742.8,34334.7,35300.5,34309.2
07-03-2021,33299,34771.6,34909.8,33363.3
07-02-2021,32909.5,33396,33895.1,33363.3
07-01-2021,34155.1,32895.6,33925.9,32778.7
06/30/2021,35071.7,34202.6,35030.7,34174.5
06/29/2021,34584.1,35254.7,36089.5,35148.9
06/28/2021,34396.1,34555.3,35125.8,34247.6
06/27/2021,33152.6,34458.7,34884,34319.5
06/26/2021,32000,33189.6,33192.3,32041.7
06/25/2021,35103.5,32063.6,32214.2,31360.1
06/24/2021,32612.9,35098.7,35490.9,34304.2
06/23/2021,33989.2,32466.3,33798.6,32376.2
06/22/2021,33028.2,33811.7,34236.2,31736.5
06/21/2021,34691,33025.6,33181.2,31216
06/20/2021,35531.9,34681,35708.4,34676.1
06/19/2021,35084.1,35636.2,35788.1,35176.2
06/18/2021,37925.6,34963.5,36283.5,34845.5
06/17/2021,38862.5,37940.2,38166,37231.8
06/16/2021,40031.8,38834.5,38963.7,38231.4
06/15/2021,40403.5,40023.9,40167.5,39645.3
06/14/2021,38995.2,40479.3,40838.1,39920
06/13/2021,34881.8,38826.4,39784.6,38769.9
06-12-2021,35585.4,34950.8,35903.9,34876.1
06-11-2021,36758.6,35339.5,37437.3,35335.8
06-10-2021,36955.5,36665.9,37177.3,36003.3
06-09-2021,32881,37012.9,37595.3,36759.8
06-08-2021,32819.6,32952.3,33502.8,32428.6
06-07-2021,36384,32869,34047.8,32447
06-06-2021,36002.2,36404.7,36754.6,35576.3
06-05-2021,37400.3,35968.9,36225.5,35421.5
06-04-2021,37928.2,37419.3,37811.3,36666.8
06-03-2021,37636,37877.1,39255.4,37442.6
06-02-2021,36479.5,37581.7,37812.7,37193.6
06-01-2021,36699.5,36395.6,36856.2,35981.1
05/31/2021,34503.3,36617.3,37850.3,36539.1
05/30/2021,34780.3,34408.7,35931.9,34330.2
05/29/2021,36465.5,34670.7,34773.6,33441
05/28/2021,38279,36324.7,36717.8,35651.4
05/27/2021,37616.5,37973.8,38844.1,37790.4
05/26/2021,39562.9,37470,39249,37190.8
05/25/2021,38360.3,39444.5,39497.3,37847
05/24/2021,35268.6,38288.4,39740.8,37875.1
05/23/2021,37460.4,35298.3,35863.1,34715.3
05/22/2021,36979.4,37436.4,38248.7,36822.9
05/21/2021,40710.8,36906.3,38056.8,36606.7
05/20/2021,38170.6,40779.5,42108.3,40521.5
05/19/2021,40491.1,38220.1,38573.3,35010.4
05/18/2021,45042.4,40569,43516.6,40164.2
05/17/2021,44482,44847.2,45231.4,43186.8
05/16/2021,48167.2,43493.4,46545.4,43072.5
05/15/2021,50046.3,47875.9,48323.8,46574.6
05/14/2021,49176.2,49762.8,50640.9,49303.7
05/13/2021,50260.7,49391.5,50387.3,49258
05-12-2021,57762.7,49715.2,50843,46331.1
05-11-2021,55164.2,57752.6,57753,56597.1
05-10-2021,59400.6,55126.4,56384.2,54550.4
05-09-2021,58585.3,59352.4,59426.6,58066
05-08-2021,58110.5,58976.3,59227,58391.4
05-07-2021,55732,58058.1,58412.9,56972.2
05-06-2021,56835.9,55920,57080.7,55533.7
05-05-2021,55024.5,56860.9,57560.8,56623.5
05-04-2021,55745.7,55085.6,55088.1,53872.5
05-03-2021,57953.7,55470.2,57201.3,54735.3
05-02-2021,56532.2,57961.5,58261.4,56562.4
05-01-2021,58189.8,56591,57868.4,56556.1
04/30/2021,53706,58188.8,58449.4,57528.9
04/29/2021,54270.4,53667,53802.7,53088.7
04/28/2021,54818.7,54165.8,55173.7,54164.4
04/27/2021,53505.3,55019.8,55718.8,54871.9
04/26/2021,52388.1,53527.9,54120.6,53431.1
04/25/2021,49690.8,52265.6,52420.9,48815.9
04/24/2021,50128.7,49705.9,50438.8,49658.6
04/23/2021,50294.7,50207,51183,49380.6
04/22/2021,53456.3,50197.1,52099.9,48788.3
04/21/2021,55256.9,53351.4,54606.2,52585.9
04/20/2021,54709,55500.5,56764.4,55447.9
04/19/2021,57060.2,54759.9,55776.8,54404.6
04/18/2021,55371.5,57230.4,57275.2,55767
04/17/2021,62404.8,53728.9,60362.1,51817.6
04/16/2021,62936.8,62376.3,62509.1,61155.6
04/15/2021,63055.8,63063.3,63518.5,62738.3
04/14/2021,63715.3,63001.1,63347.3,62361.7
04/13/2021,60496.3,63809,63818.7,63080.7
04-12-2021,60350.4,60535.5,61068.3,59839.4
04-11-2021,60267.1,60211.2,60311.3,59598.2
04-10-2021,59206.4,60319.8,60667.1,59640.8
04-09-2021,58010.7,59119.4,59149.9,57900
04-08-2021,56565.9,58081.2,58391.3,57832.9
04-07-2021,57900.4,56580.9,56674.6,55721.6
04-06-2021,58611.7,57907.1,58192.7,57286.9
04-05-2021,57452.1,58800.4,59487,58662
04-04-2021,57541.4,57555.1,58355,57497.6
04-03-2021,59216.6,57325.1,57448.9,56470.6
04-02-2021,59676.4,59205.3,59414,58948.5
04-01-2021,59083.4,59733.7,60134.9,58496.3
03/31/2021,58673.7,58995.8,59309.8,58738.9
03/30/2021,57320,58534.6,59030.2,58429.8
03/29/2021,55344.1,57141,57752.7,57128.3
03/28/2021,55791.9,55393.9,55899.4,55002.9
03/27/2021,54786.9,56133.6,56174.8,55645.5
03/26/2021,51667.2,54751.7,55532.1,54551.8
03/25/2021,52189.3,52428.5,52669.2,51306.1
03/24/2021,54447.1,52136.7,52763,51561.3
03/23/2021,54517.9,54444.7,54716.8,53579.1
